title,category,rating,price
The Iron Island,History,"['star-rating', 'Two']",£44.64
The Lost Garden,Fiction,"['star-rating', 'Two']",£48.20
The Silent Compass,Fiction,"['star-rating', 'Two']",£53.06
The Secret Symphony,Fantasy,"['star-rating', 'Three']",£31.58
The Curious Garden,Mystery,"['star-rating', 'Two']",£27.25
The Brave Compass,Science,"['star-rating', 'Three']",£44.49
The Brave River,Poetry,"['star-rating', 'One']",£39.67
The Lost Symphony,Science,"['star-rating', 'Five']",£45.91
The Secret Compass,Science,"['star-rating', 'Four']",£27.73
The Golden Rocket,Poetry,"['star-rating', 'Five']",£19.42
The Lucky Planet,Mystery,"['star-rating', 'One']",£19.91
The Wild Mirror,Fiction,"['star-rating', 'Three']",£28.86
The Winter Clock,Fiction,"['star-rating', 'Two']",£55.48
The Golden Robot,History,"['star-rating', 'Three']",£19.06
The Glass Forest,Fantasy,"['star-rating', 'Four']",£54.00
The Electric Mirror,Poetry,"['star-rating', 'Four']",£15.43
The Silent Robot,Science,"['star-rating', 'Two']",£46.74
The Silent Symphony,History,"['star-rating', 'Three']",£46.84
The Golden Island,Fantasy,"['star-rating', 'Five']",£28.77
The Hidden Clock,Science,"['star-rating', 'Two']",£34.50
The Brave Dragon,Fiction,"['star-rating', 'One']",£52.78
The Winter Dragon,Science,"['star-rating', 'Two']",£49.19
The Iron Garden,Fantasy,"['star-rating', 'Five']",£11.30
The Wild Forest,Fantasy,"['star-rating', 'Five']",£59.80
The Glass Dragon,History,"['star-rating', 'Three']",£58.50
The Hidden Robot,Fiction,"['star-rating', 'One']",£43.45
The Secret River,History,"['star-rating', 'Three']",£47.97
The Iron Rocket,Mystery,"['star-rating', 'One']",£23.26
The Lucky Forest,Science,"['star-rating', 'Four']",£8.17
The Wild River,Poetry,"['star-rating', 'Three']",£58.54
The Electric Island,Science,"['star-rating', 'Five']",£55.46
The Brave Garden,Poetry,"['star-rating', 'Three']",£51.77
The Paper Code,History,"['star-rating', 'Five']",£18.34
The Glass Mirror,Mystery,"['star-rating', 'Two']",£36.05
The Curious River,History,"['star-rating', 'One']",£39.15
The Silent River,Fantasy,"['star-rating', 'One']",£13.82
The Lost Rocket,Mystery,"['star-rating', 'Three']",£20.45
The Secret Rocket,Science,"['star-rating', 'Five']",£57.24
The Midnight Dragon,Fiction,"['star-rating', 'Four']",£50.43
The Lucky Symphony,History,"['star-rating', 'Two']",£14.68
The Lost Forest,Fantasy,"['star-rating', 'Five']",£16.59
The Secret Robot,History,"['star-rating', 'Five']",£30.00
The Midnight Code,Science,"['star-rating', 'Five']",£47.27
The Wild Library,Poetry,"['star-rating', 'Two']",£45.07
The Secret Island,Fantasy,"['star-rating', 'Three']",£30.78
The Midnight Clock,History,"['star-rating', 'Four']",£14.29
The Golden Mirror,Science,"['star-rating', 'One']",£25.58
The Midnight Symphony,History,"['star-rating', 'Five']",£19.97
The Midnight Library,Science,"['star-rating', 'One']",£11.69
The Secret Planet,Poetry,"['star-rating', 'One']",£19.90
The Brave Forest,Fiction,"['star-rating', 'Three']",£11.68
The Silent Forest,Science,"['star-rating', 'Three']",£42.79
The Paper Planet,Science,"['star-rating', 'Five']",£14.88
The Winter Forest,History,"['star-rating', 'Five']",£32.58
The Lost Dragon,Fantasy,"['star-rating', 'Four']",£17.90
The Midnight Rocket,Fiction,"['star-rating', 'Four']",£26.42
The Golden Compass,Fantasy,"['star-rating', 'Four']",£52.92
The Glass River,Fiction,"['star-rating', 'One']",£11.15
The Curious Planet,Poetry,"['star-rating', 'Three']",£49.63
The Midnight Robot,Fiction,"['star-rating', 'Two']",£17.96
